The Next Episode In The Thrift Shop (Macklemore & Ryan Lewis ft. Wanz vs. Dr. Dre & Rasmus Hedegaard),Abader000,,Best of Bootie 2013,,Mashup,12774893,272,,,2,22,2013,24/12/2013 02:24,18/06/2014 15:06,320,44100,,MPEG audio file,,BootieMashup.com,1,18/06/2014 15:14,1,02/03/2015 01:12,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Compilations:Best of Bootie 2013:02 The Next Episode In The Thrift Shop (Macklemore & Ryan Lewis ft. Wanz vs. Dr. Dre & Rasmus Hedegaard).mp3
Back In Black,ACDC,,,,,4080240,254,,,,,,01/08/2014 21:02,01/08/2014 22:11,128,44100,,MPEG audio file,,,43,05/06/2015 12:48,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:ACDC:Unknown Album:Back In Black.mp3
Closer Underwater Love (Nine Inch Nails vs. Jerome Isma-Ae),Aggro1,,,,Other,11590356,289,,,,,,24/05/2014 04:46,24/07/2014 18:24,320,44100,,MPEG audio file,,,1,24/07/2014 18:29,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Aggro1:Unknown Album:Closer Underwater Love (Nine Inch Nails vs. Jerome Isma-Ae).mp3
I Should've Known,Aimee Mann,,Whatever,,Rock,10387777,293,1,1,1,13,1993,07/09/2014 01:27,12/02/2010 22:03,256,44100,,Purchased AAC audio file,,,6,25/02/2015 22:29,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Aimee Mann:Whatever:01 I Should've Known.m4a
Fifty Years After the Fair,Aimee Mann,,Whatever,,Rock,8269487,226,1,1,2,13,1993,06/01/2015 19:45,12/02/2010 22:03,256,44100,,Purchased AAC audio file,,,,,,,
4th of July,Aimee Mann,,Whatever,,Rock,7229854,200,1,1,3,13,1993,06/01/2015 19:45,12/02/2010 22:03,256,44100,,Purchased AAC audio file,,,,,,,
Could've Been Anyone,Aimee Mann,,Whatever,,Rock,10065520,263,1,1,4,13,1993,06/01/2015 19:45,12/02/2010 22:03,256,44100,,Purchased AAC audio file,,,,,,,
Put Me On Top,Aimee Mann,,Whatever,,Rock,7953538,208,1,1,5,13,1993,06/01/2015 19:45,12/02/2010 22:03,256,44100,,Purchased AAC audio file,,,,,,,
Stupid Thing,Aimee Mann,,Whatever,,Rock,9663891,267,1,1,6,13,1993,06/01/2015 19:45,12/02/2010 22:03,256,44100,,Purchased AAC audio file,,,,,,,
Say Anything,Aimee Mann,,Whatever,,Rock,10840543,297,1,1,7,13,1993,06/01/2015 19:45,12/02/2010 22:03,256,44100,,Purchased AAC audio file,,,,,,,
Jacob Marley's Chain,Aimee Mann,,Whatever,,Rock,6548502,181,1,1,8,13,1993,07/09/2014 01:27,12/02/2010 22:03,256,44100,,Purchased AAC audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Aimee Mann:Whatever:08 Jacob Marley's Chain.m4a
Mr. Harris,Aimee Mann,,Whatever,,Rock,8773309,245,1,1,9,13,1993,06/01/2015 19:45,12/02/2010 22:03,256,44100,,Purchased AAC audio file,,,1,23/08/2014 21:29,,,
I Could Hurt You Now,Aimee Mann,,Whatever,,Rock,9267511,257,1,1,10,13,1993,06/01/2015 19:45,12/02/2010 22:03,256,44100,,Purchased AAC audio file,,,,,,,
I Know There's a Word,Aimee Mann,,Whatever,,Rock,7345310,196,1,1,11,13,1993,06/01/2015 19:45,12/02/2010 22:03,256,44100,,Purchased AAC audio file,,,,,,,
I've Had It,Aimee Mann,,Whatever,,Rock,9956511,278,1,1,12,13,1993,06/01/2015 19:45,12/02/2010 22:03,256,44100,,Purchased AAC audio file,,,,,,,
Way Back When,Aimee Mann,,Whatever,,Rock,8168955,245,1,1,13,13,1993,06/01/2015 19:45,12/02/2010 22:03,256,44100,,Purchased AAC audio file,,,,,,,
Sexy Boy,Air,,Moon Safari,,Other,3145856,174,,,2,,,03/08/2014 22:09,03/08/2014 22:10,80,44100,,MPEG audio file,,,25,31/03/2015 20:49,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Air:Moon Safari:02 Sexy Boy.mp3
